State,Vehicle_type,Value,Year
NJ,Single Unit Long-haul Trucks,2222.387,2014
NJ,Intercity Buses,4770.4917,2014
NJ,Passenger Cars,81.19433,2014
NJ,School Buses,2379.1573,2014
NJ,Transit Buses,2042.9975,2014
NJ,Motor Homes,141.535408,2014
NJ,Refuse Trucks,2074.3938,2014
NJ,Single Unit Short-haul Trucks,6366.3143,2014
NY,Combination Long-haul Trucks,18022.7391,2014
NY,Combination Short-haul Trucks,4867.44703,2014
NY,Light Commercial Trucks,2026.62013,2014
NY,Passenger Trucks,1119.58482,2014
NY,Single Unit Long-haul Trucks,1504.949243,2014
NY,Intercity Buses,4402.52214,2014
NY,Passenger Cars,322.686879,2014
NY,School Buses,4313.97118,2014
NY,Transit Buses,6132.396479,2014
NY,Motor Homes,116.161303,2014
NY,Refuse Trucks,2551.570267,2014
NY,Single Unit Short-haul Trucks,23694.3324,2014
PA,Combination Long-haul Trucks,56567.0506,2014
PA,Combination Short-haul Trucks,11997.12296,2014
PA,Light Commercial Trucks,792.922471,2014
PA,Passenger Trucks,2661.43642,2014
PA,Single Unit Long-haul Trucks,670.818131,2014
PA,Intercity Buses,220.188724,2014
PA,Passenger Cars,245.4797511,2014
PA,School Buses,603.620246,2014
PA,Transit Buses,2609.605814,2014
PA,Motor Homes,273.033984,2014
PA,Refuse Trucks,1791.628275,2014
PA,Single Unit Short-haul Trucks,13462.23316,2014
RI,Combination Long-haul Trucks,3543.1426,2014
RI,Combination Short-haul Trucks,1130.4047,2014
RI,Light Commercial Trucks,58.25004,2014
RI,Passenger Trucks,107.41281,2014
RI,Single Unit Long-haul Trucks,74.47458,2014
RI,Intercity Buses,187.59585,2014
RI,Passenger Cars,20.340574,2014
RI,School Buses,100.38787,2014
RI,Transit Buses,45.63979,2014
RI,Motor Homes,16.866307,2014
RI,Refuse Trucks,104.51547,2014
RI,Single Unit Short-haul Trucks,1137.7396,2014
VA,Combination Long-haul Trucks,22192.90464,2014
VA,Combination Short-haul Trucks,18399.41982,2014
VA,Light Commercial Trucks,710.165072,2014
VA,Passenger Trucks,2685.578352,2014
VA,Single Unit Long-haul Trucks,1169.010064,2014
VA,Intercity Buses,2203.129112,2014
VA,Passenger Cars,250.6006482,2014
VA,School Buses,1394.664658,2014
VA,Transit Buses,344.7236355,2014
VA,Motor Homes,90.1196886,2014
VA,Refuse Trucks,298.6225466,2014
VA,Single Unit Short-haul Trucks,3264.797179,2014
VT,Combination Long-haul Trucks,1239.06506,2014
VT,Combination Short-haul Trucks,893.94491,2014
VT,Light Commercial Trucks,53.704518,2014
VT,Passenger Trucks,229.22186,2014
VT,Single Unit Long-haul Trucks,95.266897,2014
VT,Intercity Buses,78.55475,2014
VT,Passenger Cars,27.999448,2014
VT,School Buses,279.09066,2014
VT,Transit Buses,59.298047,2014
VT,Motor Homes,16.826167,2014
VT,Refuse Trucks,26.039798,2014
VT,Single Unit Short-haul Trucks,154.54153,2014
WV,Combination Long-haul Trucks,8837.59133,2014
WV,Combination Short-haul Trucks,6354.39185,2014
WV,Light Commercial Trucks,159.02076,2014
WV,Passenger Trucks,836.80618,2014
WV,Single Unit Long-haul Trucks,2255.5116,2014
WV,Intercity Buses,839.943516,2014
WV,Passenger Cars,37.6898846,2014
WV,School Buses,344.63778,2014
WV,Transit Buses,142.326245,2014
WV,Motor Homes,19.8796242,2014
WV,Refuse Trucks,156.020724,2014
WV,Single Unit Short-haul Trucks,1043.93741,2014
